epoch_utc,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
2030-01-01T00:00:00+00:00,4.216400000000000e+04,0.000000000000000e+00,1.000000000000000e+02,0.000000000000000e+00,3.074660000000000e+00,0.000000000000000e+00
2030-01-01T01:00:00+00:00,4.071940485912839e+04,1.094207450280497e+04,9.657325177690537e+01,-7.979389047782671e-01,2.969317917361095e+00,-1.892802310644722e-03
2030-01-01T02:00:00+00:00,3.648459639794933e+04,2.113436498119531e+04,8.652783152310965e+01,-1.541206523356564e+00,2.660507582141788e+00,-3.655896351524926e-03
2030-01-01T03:00:00+00:00,2.974972845525244e+04,2.987844853390910e+04,7.055213007647464e+01,-2.178875027926947e+00,2.169383239585907e+00,-5.168457034272364e-03
2030-01-01T04:00:00+00:00,2.097626338845371e+04,3.657511078263207e+04,4.974095874064692e+01,-2.667247841176099e+00,1.529590039943681e+00,-6.326818230108448e-03
2030-01-01T05:00:00+00:00,1.076536967929655e+04,4.076540453930907e+04,2.552056070465540e+01,-2.972853343812628e+00,7.849615046784139e-01,-7.051576238482528e-03
2030-01-01T06:00:00+00:00,-1.832546418600630e+02,4.216210761451106e+04,-4.490945953537058e-01,-3.074739569607866e+00,-1.348122998719409e-02,-7.293034318774356e-03
2030-01-01T07:00:00+00:00,-1.111931676729767e+04,4.066942234034839e+04,-2.638805116374558e+01,-2.965912396760002e+00,-8.110236041253694e-01,-7.034614550328447e-03
2030-01-01T08:00:00+00:00,-2.129334135424521e+04,3.638956245971890e+04,-5.051835438377429e+01,-2.653818043924238e+00,-1.553006423621748e+00,-6.294001666884054e-03
2030-01-01T09:00:00+00:00,-3.000803845490843e+04,2.961577009289377e+04,-7.118592954245619e+01,-2.159835946542082e+00,-2.188572563763390e+00,-5.121938427554981e-03
2030-01-01T10:00:00+00:00,-3.666610523137799e+04,2.081223547613751e+04,-8.697399328858280e+01,-1.517815912584730e+00,-2.674154585042241e+00,-3.598753064960645e-03
2030-01-01T11:00:00+00:00,-4.081118123110301e+04,1.058229133520665e+04,-9.680021427559453e+01,-7.717591874604283e-01,-2.976463618474070e+00,-1.828855355599943e-03
2030-01-01T12:00:00+00:00,-4.215914464510442e+04,-3.729399445316885e+02,-9.999094944133697e+01,2.719787207380858e-02,-3.074773830731382e+00,6.642195463683469e-05
2030-01-01T13:00:00+00:00,-4.061759895393755e+04,-1.130261075828805e+04,-9.632745376498596e+01,8.242905619799108e-01,-2.962345060234961e+00,1.957145131505850e-03
2030-01-01T14:00:00+00:00,-3.629221030764752e+04,-2.145762608082702e+04,-8.606088618305382e+01,1.564882074740640e+00,-2.646885513646134e+00,3.713692921863945e-03
2030-01-01T15:00:00+00:00,-2.947945987405983e+04,-3.014200092395931e+04,-6.989507967092423e+01,2.198210944408878e+00,-2.150022600418381e+00,5.215648522184196e-03
2030-01-01T16:00:00+00:00,-2.064630953592244e+04,-3.676057206139064e+04,-4.893826049133866e+01,2.680872026391148e+00,-1.505818416585775e+00,6.360058552204469e-03
2030-01-01T17:00:00+00:00,-1.039817885267181e+04,-4.085979011077227e+04,-2.462703629904800e+01,2.979791845292445e+00,-7.584322537254764e-01,7.068491493553693e-03
2030-01-01T18:00:00+00:00,5.625662469887499e+02,-4.215879504017519e+04,1.372122872074292e+00,3.074494199620543e+00,4.090881500285357e-02,7.292411299653638e-03
2030-01-01T19:00:00+00:00,1.148476241778538e+04,-4.056864720537131e+04,2.727714422279096e+01,2.958501011839916e+00,8.374228133718892e-01,7.016498457628739e-03
2030-01-01T20:00:00+00:00,2.161993164142878e+04,-3.619840042450840e+04,5.131251091711651e+01,2.639773067154287e+00,1.576527855483913e+00,6.259692400391452e-03
2030-01-01T21:00:00+00:00,3.027356821848363e+04,-2.934760682108413e+04,7.183094361516298e+01,2.140161300462837e+00,2.207581717328121e+00,5.073885869649885e-03
2030-01-01T22:00:00+00:00,3.685271703815187e+04,-2.048577291146774e+04,8.742626870052048e+01,1.493907085093114e+00,2.687349967051333e+00,3.540362737767507e-03
2030-01-01T23:00:00+00:00,4.090658700190955e+04,-1.022017898877221e+04,9.702974754534975e+01,7.452949069274242e-01,2.982965628098929e+00,1.764224888291140e-03
2030-01-02T00:00:00+00:00,4.215742227260027e+04,7.457314602052514e+02,9.998327830402300e+01,-5.438151092311951e-02,3.074178412275116e+00,-1.328093749771402e-04
