epoch_utc,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
2030-01-01T00:00:00+00:00,4.216400000000000e+04,0.000000000000000e+00,1.000000000000000e+02,0.000000000000000e+00,3.074660000000000e+00,0.000000000000000e+00
2030-01-01T01:00:00+00:00,4.071940645360467e+04,1.094210688057364e+04,9.659010953186105e+01,-7.979373206229229e-01,2.969336027026507e+00,-1.883136988907761e-03
2030-01-01T02:00:00+00:00,3.648461397777971e+04,2.113449577741979e+04,8.659878499972855e+01,-1.541198152841836e+00,2.660544253773198e+00,-3.635431863360249e-03
2030-01-01T03:00:00+00:00,2.974979955223526e+04,2.987874759485594e+04,7.071606539704425e+01,-2.178852253999994e+00,2.169440827718623e+00,-5.137414955040735e-03
2030-01-01T04:00:00+00:00,2.097645440774222e+04,3.657566603330200e+04,5.003354327159120e+01,-2.667202987976850e+00,1.529676782599273e+00,-6.286755267643667e-03
2030-01-01T05:00:00+00:00,1.076576605433508e+04,4.076634680321936e+04,2.596958789573486e+01,-2.972784712441336e+00,7.850928129586996e-01,-7.005288008160005e-03
2030-01-01T06:00:00+00:00,-1.825826726832195e+02,4.216363090073211e+04,1.721157246096181e-01,-3.074658282054536e+00,-1.328683423232962e-02,-7.244387436666141e-03
2030-01-01T07:00:00+00:00,-1.111836795664543e+04,4.067177950537952e+04,-2.559441829835203e+01,-2.965845691967302e+00,-8.107538083996839e-01,-6.988308733437635e-03
2030-01-01T08:00:00+00:00,-2.129223707085283e+04,3.639302246338755e+04,-4.957003082962208e+01,-2.653805495077545e+00,-1.552666350292045e+00,-6.255265312670115e-03
2030-01-01T09:00:00+00:00,-3.000704856916270e+04,2.962053941777081e+04,-7.011988459869907e+01,-2.159918069960927e+00,-2.188192504433960e+00,-5.096165927684972e-03
2030-01-01T10:00:00+00:00,-3.666562381371512e+04,2.081836574655126e+04,-8.584630775917636e+01,-1.518018541672937e+00,-2.673789295992166e+00,-3.591096350324847e-03
2030-01-01T11:00:00+00:00,-4.081164757059071e+04,1.058960808059935e+04,-9.568442094827594e+01,-7.720798849565547e-01,-2.976181338452409e+00,-1.843782139027551e-03
2030-01-01T12:00:00+00:00,-4.216092904859601e+04,-3.648539381646348e+02,-9.897473564129551e+01,2.679486795706414e-02,-3.074637783219071e+00,2.559560670523929e-05
2030-01-01T13:00:00+00:00,-4.062089164464299e+04,-1.129436169608222e+04,-9.550764072259715e+01,8.238673802277517e-01,-2.962394171707487e+00,1.888743778139841e-03
2030-01-01T14:00:00+00:00,-3.629695522747510e+04,-2.144989664233697e+04,-8.553662781832801e+01,1.564509978093670e+00,-2.647122265065141e+00,3.618177247492399e-03
2030-01-01T15:00:00+00:00,-2.948535948322346e+04,-3.013541551417244e+04,-6.975933659921667e+01,2.197949531885576e+00,-2.150413301213158e+00,5.096064636831139e-03
2030-01-01T16:00:00+00:00,-2.065289770630105e+04,-3.675558599610604e+04,-4.926789847775365e+01,2.680753589375493e+00,-1.506305668252748e+00,6.222329323693155e-03
2030-01-01T17:00:00+00:00,-1.040493058673466e+04,-4.085663738600771e+04,-2.547239200767867e+01,2.979817186033431e+00,-7.589536945774201e-01,6.921394531711033e-03
2030-01-01T18:00:00+00:00,5.561324741158676e+02,-4.215750201252931e+04,-3.176522464450882e-03,3.074640456312214e+00,4.040404048224705e-02,7.147112233674645e-03
2030-01-01T19:00:00+00:00,1.147902475075795e+04,-4.056909087337917e+04,2.540083170969479e+01,2.958736169637352e+00,8.369664628853837e-01,6.885617488324448e-03
2030-01-01T20:00:00+00:00,2.161515733714927e+04,-3.620037519695098e+04,4.901028235577767e+01,2.640069281484472e+00,1.576135185523350e+00,6.156026718655118e-03
2030-01-01T21:00:00+00:00,3.026994245579910e+04,-2.935086904117371e+04,6.922217887075058e+01,2.140501124161023e+00,2.207260263238705e+00,5.009008917037522e-03
2030-01-01T22:00:00+00:00,3.685037892074672e+04,-2.049005214496911e+04,8.466783540206455e+01,1.494281481240985e+00,2.687108197466687e+00,3.523331562723016e-03
2030-01-01T23:00:00+00:00,4.090564821435007e+04,-1.022516608139288e+04,9.430501997292565e+01,7.456964099663530e-01,2.982816682589215e+00,1.800569664329240e-03
2030-01-02T00:00:00+00:00,4.215796014241224e+04,7.403988213997915e+02,9.748818111872943e+01,-5.396534838157067e-02,3.074137923847730e+00,-4.171801544741561e-05
