epoch_utc,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
2030-01-01T00:00:00+00:00,4.216400000000000e+04,0.000000000000000e+00,1.000000000000000e+02,0.000000000000000e+00,3.074660000000000e+00,0.000000000000000e+00
2030-01-01T01:00:00+00:00,4.071940633722042e+04,1.094210747322562e+04,9.659036643659482e+01,-7.979373847082226e-01,2.969336354424987e+00,-1.882995092282075e-03
2030-01-01T02:00:00+00:00,3.648461353960168e+04,2.113449811528470e+04,8.659979494518196e+01,-1.541198260396399e+00,2.660544893882492e+00,-3.635157803084280e-03
2030-01-01T03:00:00+00:00,2.974979874600934e+04,2.987875280892289e+04,7.071827307113452e+01,-2.178852335093397e+00,2.169441793522254e+00,-5.137027409401932e-03
2030-01-01T04:00:00+00:00,2.097645351104481e+04,3.657567545317445e+04,5.003731183451217e+01,-2.667202940919065e+00,1.529678182798732e+00,-6.286280607740096e-03
2030-01-01T05:00:00+00:00,1.076576565557890e+04,4.076636240394539e+04,2.597517413017491e+01,-2.972784484311364e+00,7.850949014991629e-01,-7.004758661515982e-03
2030-01-01T06:00:00+00:00,-1.825820638284512e+02,4.216365582268855e+04,1.796516473996199e-01,-3.074657991057422e+00,-1.328367378917627e-02,-7.243839942577257e-03
2030-01-01T07:00:00+00:00,-1.111836674182062e+04,4.067181835674123e+04,-2.558493632461069e+01,-2.965845741056775e+00,-8.107491696295975e-01,-6.987781524521740e-03
2030-01-01T08:00:00+00:00,-2.129223769447071e+04,3.639308108413310e+04,-4.955874453826267e+01,-2.653806614204147e+00,-1.552659991048180e+00,-6.254796246069165e-03
2030-01-01T09:00:00+00:00,-3.000705659419607e+04,2.962062389597597e+04,-7.010706700058505e+01,-2.159921236958136e+00,-2.188184563767592e+00,-5.095789624571335e-03
2030-01-01T10:00:00+00:00,-3.666564846626344e+04,2.081848071541818e+04,-8.583234659203447e+01,-1.518024767849916e+00,-2.673780462669905e+00,-3.590841480399596e-03
2030-01-01T11:00:00+00:00,-4.081170131440440e+04,1.058975461977603e+04,-9.566979258827890e+01,-7.720899006888311e-01,-2.976172890146673e+00,-1.843668884101245e-03
2030-01-01T12:00:00+00:00,-4.216102596444447e+04,-3.646802220514318e+02,-9.895997066927879e+01,2.678094620912726e-02,-3.074631442505670e+00,2.555759604292794e-05
2030-01-01T13:00:00+00:00,-4.062104473754473e+04,-1.129417172835514e+04,-9.549328353269847e+01,8.238502941158187e-01,-2.962391776794696e+00,1.888556594739951e-03
2030-01-01T14:00:00+00:00,-3.629717317033766e+04,-2.144970750152699e+04,-8.552319379539377e+01,1.564491381937317e+00,-2.647125315396234e+00,3.617854829089073e-03
2030-01-01T15:00:00+00:00,-2.948564360346504e+04,-3.013524835619782e+04,-6.974727116223461e+01,2.197931798345418e+00,-2.150422491064690e+00,5.095631621201701e-03
2030-01-01T16:00:00+00:00,-2.065324011850293e+04,-3.675546248449197e+04,-4.925754241673961e+01,2.680739374974118e+00,-1.506320546145449e+00,6.221818727485142e-03
2030-01-01T17:00:00+00:00,-1.040531420550124e+04,-4.085657531210070e+04,-2.546395689162146e+01,2.979808841002966e+00,-7.589725706525425e-01,6.920844541333088e-03
2030-01-01T18:00:00+00:00,5.557317274398102e+02,-4.215751113895002e+04,3.267415992658229e-03,3.074639423366652e+00,4.038387332392637e-02,7.146562569820011e-03
2030-01-01T19:00:00+00:00,1.147863381001291e+04,-4.056917012453133e+04,2.540535464394275e+01,2.958742539688572e+00,8.369482125107960e-01,6.885105884227332e-03
2030-01-01T20:00:00+00:00,2.161480075947949e+04,-3.620051209131356e+04,4.901308222730675e+01,2.640081649449120e+00,1.576121856138875e+00,6.155586010902552e-03
2030-01-01T21:00:00+00:00,3.026963733357811e+04,-2.935104174291339e+04,6.922355992804246e+01,2.140516817345916e+00,2.207253937117533e+00,5.008665092371700e-03
2030-01-01T22:00:00+00:00,3.685013126172500e+04,-2.049023383013493e+04,8.466818163260943e+01,1.494297133284263e+00,2.687109498967678e+00,3.523102871020988e-03
2030-01-01T23:00:00+00:00,4.090545183092790e+04,-1.022533065127175e+04,9.430476708472285e+01,7.457087521071213e-01,2.982824587155601e+00,1.800466657174889e-03
2030-01-02T00:00:00+00:00,4.215779848526821e+04,7.402710946684781e+02,9.748778983844679e+01,-5.395867996454431e-02,3.074149990763642e+00,-4.169185976828165e-05
