epoch_utc,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
2030-01-01T00:00:00+00:00,4.216400000000000e+04,0.000000000000000e+00,1.000000000000000e+02,0.000000000000000e+00,3.074660000000000e+00,0.000000000000000e+00
2030-01-01T01:00:00+00:00,4.071939558070740e+04,1.094210291339509e+04,9.658880495783927e+01,-7.979435315280716e-01,2.969334221981297e+00,-1.883560257228957e-03
2030-01-01T02:00:00+00:00,3.648456786344991e+04,2.113448525497747e+04,8.659789690965901e+01,-1.541211706581240e+00,2.660542668427048e+00,-3.634486997582364e-03
2030-01-01T03:00:00+00:00,2.974969032655418e+04,2.987873318281756e+04,7.072349870833639e+01,-2.178873733822152e+00,2.169440280895095e+00,-5.133497003946160e-03
2030-01-01T04:00:00+00:00,2.097625531001329e+04,3.657565145395009e+04,5.006230938678993e+01,-2.667230976034821e+00,1.529677240773792e+00,-6.278666167473719e-03
2030-01-01T05:00:00+00:00,1.076546018518060e+04,4.076633673908119e+04,2.603600103568427e+01,-2.972815198533573e+00,7.850952316674314e-01,-6.992416669365306e-03
2030-01-01T06:00:00+00:00,-1.829949451392902e+02,4.216363866857833e+04,2.934385600272753e-01,-3.074686115573057e+00,-1.327831512552150e-02,-7.226833097646504e-03
2030-01-01T07:00:00+00:00,-1.111887060138093e+04,4.067184049376557e+04,-2.540264996441486e+01,-2.965867987122534e+00,-8.107311658027634e-01,-6.966933856814013e-03
2030-01-01T08:00:00+00:00,-2.129281355759289e+04,3.639320515062693e+04,-4.929673077639138e+01,-2.653825392599910e+00,-1.552619843934037e+00,-6.231667686323676e-03
2030-01-01T09:00:00+00:00,-3.000770766555020e+04,2.962094340539409e+04,-6.976088505861756e+01,-2.159946493733978e+00,-2.188115539763193e+00,-5.072565439064043e-03
2030-01-01T10:00:00+00:00,-3.666642520838249e+04,2.081910011716086e+04,-8.540627214930480e+01,-1.518072169126718e+00,-2.673684052457650e+00,-3.570140879921955e-03
2030-01-01T11:00:00+00:00,-4.081271301787233e+04,1.059075241666935e+04,-9.517793384496528e+01,-7.721753093444994e-01,-2.976062291804594e+00,-1.828288115416689e-03
2030-01-01T12:00:00+00:00,-4.216242843310392e+04,-3.632937004443179e+02,-9.842637895873914e+01,2.664875189579701e-02,-3.074530789013098e+00,3.294190880413154e-05
2030-01-01T13:00:00+00:00,-4.062300327352629e+04,-1.129248507398204e+04,-9.495097278932830e+01,8.236755139064315e-01,-2.962330645973518e+00,1.885691268197955e-03
2030-01-01T14:00:00+00:00,-3.629981126170899e+04,-2.144791308002139e+04,-8.501210438796747e+01,1.564292887771253e+00,-2.647130290569570e+00,3.603187369956364e-03
2030-01-01T15:00:00+00:00,-2.948899498385668e+04,-3.013361625482810e+04,-6.931132834353431e+01,2.197739588826776e+00,-2.150509019880269e+00,5.068531718764572e-03
2030-01-01T16:00:00+00:00,-2.065722140850046e+04,-3.675429063185291e+04,-4.894105061621400e+01,2.680587079289143e+00,-1.506488280017914e+00,6.182723006794838e-03
2030-01-01T17:00:00+00:00,-1.040972729686703e+04,-4.085613181562614e+04,-2.530763031649748e+01,2.979725258679352e+00,-7.592057816903079e-01,6.871312538238859e-03
2030-01-01T18:00:00+00:00,5.511700233528691e+02,-4.215798657295028e+04,-3.369200521343640e-02,3.074642300962554e+00,4.011147476722120e-02,7.089239252508832e-03
2030-01-01T19:00:00+00:00,1.147424686695027e+04,-4.057065154530721e+04,2.515328208488409e+01,2.958836471473835e+00,8.366667180354562e-01,6.823591214966413e-03
2030-01-01T20:00:00+00:00,2.161090713280088e+04,-3.620298048442509e+04,4.853843254935040e+01,2.640259915889706e+00,1.575859331211703e+00,6.094216137053131e-03
2030-01-01T21:00:00+00:00,3.026651678945669e+04,-2.935438577295382e+04,6.853536833986128e+01,2.140765278579261e+00,2.207033354301928e+00,4.952214622609774e-03
2030-01-01T22:00:00+00:00,3.684800493216341e+04,-2.049426934523888e+04,8.379292790534095e+01,1.494597830173307e+00,2.686948463747738e+00,3.476424504431791e-03
2030-01-01T23:00:00+00:00,4.090447237545379e+04,-1.022981819742974e+04,9.328594642257049e+01,7.460417431492695e-01,2.982736404747224e+00,1.768092743003146e-03
2030-01-02T00:00:00+00:00,4.215804358792155e+04,7.356122201633499e+02,9.638402842408415e+01,-5.361516091869793e-02,3.074144259080816e+00,-5.595349011410243e-05
