epoch_utc,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
2030-01-01T00:00:00+00:00,4.216400000000000e+04,0.000000000000000e+00,1.000000000000000e+02,0.000000000000000e+00,3.074660000000000e+00,0.000000000000000e+00
2030-01-01T01:00:00+00:00,4.071939546432314e+04,1.094210350604712e+04,9.658906186259580e+01,-7.979435956133820e-01,2.969334549379835e+00,-1.883418360578390e-03
2030-01-01T02:00:00+00:00,3.648456742527175e+04,2.113448759284318e+04,8.659890685544671e+01,-1.541211814135833e+00,2.660543308536778e+00,-3.634212937130885e-03
2030-01-01T03:00:00+00:00,2.974968952032847e+04,2.987873839688872e+04,7.072570638391925e+01,-2.178873814915229e+00,2.169441246700447e+00,-5.133109457809189e-03
2030-01-01T04:00:00+00:00,2.097625441331901e+04,3.657566087383920e+04,5.006607795394171e+01,-2.667230928975732e+00,1.529678640979232e+00,-6.278191506473492e-03
2030-01-01T05:00:00+00:00,1.076545978643165e+04,4.076635233986180e+04,2.604158728059485e+01,-2.972814970403474e+00,7.850973202240809e-01,-6.991887320080208e-03
2030-01-01T06:00:00+00:00,-1.829943362911969e+02,4.216366359067296e+04,3.009745094908265e-01,-3.074685824585780e+00,-1.327515465230021e-02,-7.226285596452553e-03
2030-01-01T07:00:00+00:00,-1.111886938663235e+04,4.067187934538600e+04,-2.539316792106649e+01,-2.965868036241503e+00,-8.107265269993074e-01,-6.966406629623439e-03
2030-01-01T08:00:00+00:00,-2.129281418141521e+04,3.639326377171531e+04,-4.928544431237685e+01,-2.653826511762365e+00,-1.552613484682340e+00,-6.231198578269112e-03
2030-01-01T09:00:00+00:00,-3.000771569083938e+04,2.962102788388739e+04,-6.974806707150272e+01,-2.159949660707906e+00,-2.188107599134800e+00,-5.072189053959011e-03
2030-01-01T10:00:00+00:00,-3.666644986082796e+04,2.081921508615281e+04,-8.539231019466857e+01,-1.518078395107276e+00,-2.673675219170728e+00,-3.569885867229045e-03
2030-01-01T11:00:00+00:00,-4.081276676041083e+04,1.059089895608382e+04,-9.516330404631655e+01,-7.721853246141913e-01,-2.976053843362050e+00,-1.828174639089318e-03
2030-01-01T12:00:00+00:00,-4.216252534556967e+04,-3.631199828939907e+02,-9.841161159481646e+01,2.663483083107483e-02,-3.074524447722780e+00,3.290420653987893e-05
2030-01-01T13:00:00+00:00,-4.062315636055725e+04,-1.129229510157324e+04,-9.493661194972501e+01,8.236584284300454e-01,-2.962328249808762e+00,1.885504472207611e-03
2030-01-01T14:00:00+00:00,-3.630002919715818e+04,-2.144772392873818e+04,-8.499866521777368e+01,1.564274291755267e+00,-2.647133338959865e+00,3.602865389678070e-03
2030-01-01T15:00:00+00:00,-2.948927909774700e+04,-3.013344907859277e+04,-6.929925615963796e+01,2.197721854499119e+00,-2.150518207429180e+00,5.068099144469247e-03
2030-01-01T16:00:00+00:00,-2.065756381916488e+04,-3.675416709392685e+04,-4.893068630254299e+01,2.680572863006338e+00,-1.506503155854386e+00,6.182212795360060e-03
2030-01-01T17:00:00+00:00,-1.041011092252391e+04,-4.085606970944638e+04,-2.529918575603478e+01,2.979716910925415e+00,-7.592246566057825e-01,6.870762815825625e-03
2030-01-01T18:00:00+00:00,5.507692593499501e+02,-4.215799566519773e+04,-2.723794130339918e-02,3.074641265063360e+00,4.009130747135820e-02,7.088689693127109e-03
2030-01-01T19:00:00+00:00,1.147385589893811e+04,-4.057073076514658e+04,2.515781519104064e+01,2.958842839072299e+00,8.366484662501995e-01,6.823079531545085e-03
2030-01-01T20:00:00+00:00,2.161055052083355e+04,-3.620311735425986e+04,4.854124199211002e+01,2.640272282470728e+00,1.575845999562771e+00,6.093775180294499e-03
2030-01-01T21:00:00+00:00,3.026621163028324e+04,-2.935455845892252e+04,6.853675783539606e+01,2.140780971680050e+00,2.207027025690044e+00,4.951870428291497e-03
2030-01-01T22:00:00+00:00,3.684775723808639e+04,-2.049445102306395e+04,8.379328113708817e+01,1.494613483308603e+00,2.686949763148351e+00,3.476195398103669e-03
2030-01-01T23:00:00+00:00,4.090427596247353e+04,-1.022998276611499e+04,9.328569909154669e+01,7.460540871721553e-01,2.982744308055749e+00,1.767989362407236e-03
2030-01-02T00:00:00+00:00,4.215788190863354e+04,7.354844919733524e+02,9.638364154818480e+01,-5.360849035892789e-02,3.074156325794739e+00,-5.592759074871454e-05
