epoch_utc,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
2030-01-01T00:00:00+00:00,4.216400000000000e+04,0.000000000000000e+00,1.000000000000000e+02,0.000000000000000e+00,3.074660000000000e+00,0.000000000000000e+00
2030-01-01T01:00:00+00:00,4.071940474274404e+04,1.094207509545692e+04,9.657350868161996e+01,-7.979389688636601e-01,2.969318244759535e+00,-1.892660414040626e-03
2030-01-01T02:00:00+00:00,3.648459595976990e+04,2.113436731905948e+04,8.652884146820529e+01,-1.541206630911892e+00,2.660508222250583e+00,-3.655622291474531e-03
2030-01-01T03:00:00+00:00,2.974972764902046e+04,2.987845374797071e+04,7.055433774794270e+01,-2.178875109022044e+00,2.169384205387210e+00,-5.168069489929834e-03
2030-01-01T04:00:00+00:00,2.097626249174665e+04,3.657512020248713e+04,4.974472729027780e+01,-2.667247794117628e+00,1.529591440139547e+00,-6.326343575661750e-03
2030-01-01T05:00:00+00:00,1.076536928054664e+04,4.076542014002131e+04,2.552614688779579e+01,-2.972853115674148e+00,7.849635932292135e-01,-7.051046909380046e-03
2030-01-01T06:00:00+00:00,-1.832540329701511e+02,4.216213253657900e+04,-4.415588307796701e-01,-3.074739278609903e+00,-1.347806947468287e-02,-7.292486869888758e-03
2030-01-01T07:00:00+00:00,-1.111931555256043e+04,4.066946119227222e+04,-2.637856959640390e+01,-2.965912445941080e+00,-8.110189651657154e-01,-7.034087438919893e-03
2030-01-01T08:00:00+00:00,-2.129334197871636e+04,3.638962108194894e+04,-5.050706899122795e+01,-2.653819163424200e+00,-1.553000064065681e+00,-6.293532782008638e-03
2030-01-01T09:00:00+00:00,-3.000804648301870e+04,2.961585457370453e+04,-7.117311369921799e+01,-2.159839114439420e+00,-2.188564622835127e+00,-5.121562423411389e-03
2030-01-01T10:00:00+00:00,-3.666612989142724e+04,2.081235044787728e+04,-8.696003520199014e+01,-1.517822140319424e+00,-2.674145751919290e+00,-3.598498635116481e-03
2030-01-01T11:00:00+00:00,-4.081123498896964e+04,1.058243787489328e+04,-9.678559084231739e+01,-7.717692052044747e-01,-2.976455171368616e+00,-1.828742684197690e-03
2030-01-01T12:00:00+00:00,-4.215924158217056e+04,-3.727662346416901e+02,-9.997619171516966e+01,2.718394849387321e-02,-3.074767492584941e+00,6.638324727788832e-05
2030-01-01T13:00:00+00:00,-4.061775207300694e+04,-1.130242080835583e+04,-9.631310643542938e+01,8.242734750965216e-01,-2.962342669103089e+00,1.956957206983868e-03
2030-01-01T14:00:00+00:00,-3.629242827643215e+04,-2.145743697249613e+04,-8.604746461607971e+01,1.564863479565928e+00,-2.646888568175569e+00,3.713369822439428e-03
2030-01-01T15:00:00+00:00,-2.947974401330946e+04,-3.014183381256578e+04,-6.988302884445903e+01,2.198193213675674e+00,-2.150031793703433e+00,5.215215012450302e-03
2030-01-01T16:00:00+00:00,-2.064665195464299e+04,-3.676044860571349e+04,-4.892792029315289e+01,2.680857815961327e+00,-1.505833296111024e+00,6.359547773249624e-03
2030-01-01T17:00:00+00:00,-1.039856246316834e+04,-4.085972809468221e+04,-2.461861700093444e+01,2.979783504319644e+00,-7.584511292027988e-01,7.067941720913551e-03
2030-01-01T18:00:00+00:00,5.621655218229392e+02,-4.215880421855096e+04,1.378552540796866e+00,3.074493169842679e+00,4.088865041573521e-02,7.291862274385633e-03
2030-01-01T19:00:00+00:00,1.148437150748686e+04,-4.056872649660757e+04,2.728165585226427e+01,2.958507383641255e+00,8.374045669068134e-01,7.015987842411700e-03
2030-01-01T20:00:00+00:00,2.161957509774588e+04,-3.619853734342229e+04,5.131530344434162e+01,2.639785435336964e+00,1.576514530732406e+00,6.259252870660491e-03
2030-01-01T21:00:00+00:00,3.027326312830474e+04,-2.934777953006006e+04,7.183232157826814e+01,2.140176992347071e+00,2.207575396133223e+00,5.073543187890882e-03
2030-01-01T22:00:00+00:00,3.685246940366151e+04,-2.048595458616310e+04,8.742661552825477e+01,1.493922734243819e+00,2.687351273390478e+00,3.540134916375649e-03
2030-01-01T23:00:00+00:00,4.090639062957241e+04,-1.022034353171483e+04,9.702949759737244e+01,7.453072444848019e-01,2.982973536861941e+00,1.764122287456866e-03
2030-01-02T00:00:00+00:00,4.215726060714075e+04,7.456037732350347e+02,9.998289043295870e+01,-5.437484864457699e-02,3.074190481983365e+00,-1.327833705520026e-04
