epoch_utc,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
2030-01-01T00:00:00+00:00,4.216400000000000e+04,0.000000000000000e+00,1.000000000000000e+02,0.000000000000000e+00,3.074660000000000e+00,0.000000000000000e+00
2030-01-01T01:00:00+00:00,4.071939398623264e+04,1.094207053562516e+04,9.657194720257053e+01,-7.979451156817923e-01,2.969316112314493e+00,-1.893225579302178e-03
2030-01-01T02:00:00+00:00,3.648455028363776e+04,2.113435445873243e+04,8.652694342940102e+01,-1.541220077088251e+00,2.660505996783598e+00,-3.654951487219765e-03
2030-01-01T03:00:00+00:00,2.974961922961210e+04,2.987843412173476e+04,7.055956338066947e+01,-2.178896507748656e+00,2.169382692696299e+00,-5.164539082629432e-03
2030-01-01T04:00:00+00:00,2.097606429073689e+04,3.657509620259162e+04,4.976972486088813e+01,-2.667275829241528e+00,1.529590497836697e+00,-6.318729124680992e-03
2030-01-01T05:00:00+00:00,1.076506381036303e+04,4.076539447267134e+04,2.558697383401625e+01,-2.972883829718703e+00,7.849639226232253e-01,-7.038704927184580e-03
2030-01-01T06:00:00+00:00,-1.836669123309219e+02,4.216211537616338e+04,-3.277721458969163e-01,-3.074767402237870e+00,-1.347271210829522e-02,-7.275480204731048e-03
2030-01-01T07:00:00+00:00,-1.111981940507693e+04,4.066948331840770e+04,-2.619628493648545e+01,-2.965934690092367e+00,-8.110009623837062e-01,-7.013240495310014e-03
2030-01-01T08:00:00+00:00,-2.129391782746007e+04,3.638974513623057e+04,-5.024506146359150e+01,-2.653837940040544e+00,-1.552959916465508e+00,-6.270406149374577e-03
2030-01-01T09:00:00+00:00,-3.000869753857773e+04,2.961617407568698e+04,-7.082694839001606e+01,-2.159864372897478e+00,-2.188495596945886e+00,-5.098342240888844e-03
2030-01-01T10:00:00+00:00,-3.666690663596321e+04,2.081296984626089e+04,-8.653399684531810e+01,-1.517869550492409e+00,-2.674049342363787e+00,-3.577804959247922e-03
2030-01-01T11:00:00+00:00,-4.081224674096069e+04,1.058343565016564e+04,-9.629379914422546e+01,-7.718546300659836e-01,-2.976344583953953e+00,-1.813372211676842e-03
2030-01-01T12:00:00+00:00,-4.216064416175496e+04,-3.713798040476989e+02,-9.944270986198190e+01,2.705173742358238e-02,-3.074666867534178e+00,7.375419985258268e-05
2030-01-01T13:00:00+00:00,-4.061971076353591e+04,-1.130073438100711e+04,-9.577095742829923e+01,8.240986895147229e-01,-2.962281584635612e+00,1.954076704314232e-03
2030-01-01T14:00:00+00:00,-3.629506650484811e+04,-2.145564296412456e+04,-8.553659182930798e+01,1.564665001606651e+00,-2.646893598063455e+00,3.698687444278851e-03
2030-01-01T15:00:00+00:00,-2.948309543014983e+04,-3.014020231297802e+04,-6.944735217177350e+01,2.198001043055855e+00,-2.150118369922820e+00,5.188102934088561e-03
2030-01-01T16:00:00+00:00,-2.065063311338983e+04,-3.675927749140678e+04,-4.861172996744281e+01,2.680705572263761e+00,-1.506001056904784e+00,6.320444945208825e-03
2030-01-01T17:00:00+00:00,-1.040297523463586e+04,-4.085928538927950e+04,-2.446260576327606e+01,2.979699972412941e+00,-7.586843428944521e-01,7.018409320579162e-03
2030-01-01T18:00:00+00:00,5.576042982222948e+02,-4.215928041718277e+04,1.341289595292700e+00,3.074496084987143e+00,4.061626769415320e-02,7.234545947219615e-03
2030-01-01T19:00:00+00:00,1.147998515108468e+04,-4.057020860627801e+04,2.702931797774839e+01,2.958601337066482e+00,8.371230971310126e-01,6.954487305022156e-03
2030-01-01T20:00:00+00:00,2.161568211243193e+04,-3.620100633173084e+04,5.084045091124327e+01,2.639963711550685e+00,1.576252032471661e+00,6.197903381615172e-03
2030-01-01T21:00:00+00:00,3.027014324879813e+04,-2.935112405826884e+04,7.114400998284465e+01,2.140425457640493e+00,2.207354840839569e+00,5.017118143149373e-03
2030-01-01T22:00:00+00:00,3.685034374897283e+04,-2.048999049405146e+04,8.655134036897934e+01,1.494223432974365e+00,2.687190269960910e+00,3.493485649329013e-03
2030-01-01T23:00:00+00:00,4.090541185048212e+04,-1.022483134186927e+04,9.601076459114581e+01,7.456402339478632e-01,2.982885394786162e+00,1.731779597731161e-03
2030-01-02T00:00:00+00:00,4.215750636734359e+04,7.409447982530374e+02,9.887933017366456e+01,-5.403133945047721e-02,3.074184800707365e+00,-1.470135108558856e-04
