epoch_utc,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
2030-01-01T00:00:00+00:00,4.216400000000000e+04,0.000000000000000e+00,1.000000000000000e+02,0.000000000000000e+00,3.074660000000000e+00,0.000000000000000e+00
2030-01-01T01:00:00+00:00,4.071939386984827e+04,1.094207112827716e+04,9.657220410730787e+01,-7.979451797671975e-01,2.969316439712990e+00,-1.893083682673205e-03
2030-01-01T02:00:00+00:00,3.648454984545820e+04,2.113435679659740e+04,8.652795337483096e+01,-1.541220184643612e+00,2.660506636892826e+00,-3.654677426993877e-03
2030-01-01T03:00:00+00:00,2.974961842338032e+04,2.987843933580057e+04,7.056177105362998e+01,-2.178896588843427e+00,2.169383658499318e+00,-5.164151537788764e-03
2030-01-01T04:00:00+00:00,2.097606339403292e+04,3.657510562246335e+04,4.977349341474952e+01,-2.667275782181755e+00,1.529591898038538e+00,-6.318254469137694e-03
2030-01-01T05:00:00+00:00,1.076506341162033e+04,4.076541007343816e+04,2.559256002762648e+01,-2.972883601580094e+00,7.849660111902027e-01,-7.038175595441189e-03
2030-01-01T06:00:00+00:00,-1.836663034477043e+02,4.216214029836947e+04,-3.202363546505840e-01,-3.074767111249744e+00,-1.346955156572376e-02,-7.274932748740454e-03
2030-01-01T07:00:00+00:00,-1.111981819041594e+04,4.066952217059013e+04,-2.618680329953653e+01,-2.965934739302943e+00,-8.109963233906932e-01,-7.012713365625547e-03
2030-01-01T08:00:00+00:00,-2.129391845213571e+04,3.638980375880327e+04,-5.023377589837853e+01,-2.653839059576353e+00,-1.552953556901630e+00,-6.269937223039774e-03
2030-01-01T09:00:00+00:00,-3.000870556694378e+04,2.961625855678563e+04,-7.081413215772920e+01,-2.159867540771500e+00,-2.188487656055625e+00,-5.097966154738619e-03
2030-01-01T10:00:00+00:00,-3.666693129590936e+04,2.081308481812542e+04,-8.652003797110581e+01,-1.517875778030596e+00,-2.674040509276164e+00,-3.577550386608237e-03
2030-01-01T11:00:00+00:00,-4.081230049755152e+04,1.058358219009000e+04,-9.627917427205414e+01,-7.718646473473493e-01,-2.976336136711569e+00,-1.813259318838150e-03
2030-01-01T12:00:00+00:00,-4.216074109543759e+04,-3.712060927199595e+02,-9.942794974355134e+01,2.703781452683590e-02,-3.074660528810569e+00,7.371580091574442e-05
2030-01-01T13:00:00+00:00,-4.061986387673425e+04,-1.130054442639161e+04,-9.575660644866022e+01,8.240816032665912e-01,-2.962279192251541e+00,1.953889167183450e-03
2030-01-01T14:00:00+00:00,-3.629528446622058e+04,-2.145545384531849e+04,-8.552316511488756e+01,1.564646406571783e+00,-2.646896650652140e+00,3.698364782887257e-03
2030-01-01T15:00:00+00:00,-2.948337956305135e+04,-3.014003518332281e+04,-6.943529459869625e+01,2.197983311534660e+00,-2.150127560905756e+00,5.187669865509353e-03
2030-01-01T16:00:00+00:00,-2.065097553057726e+04,-3.675915400941920e+04,-4.860138151768363e+01,2.680691359952383e+00,-1.506015934374656e+00,6.319934550778420e-03
2030-01-01T17:00:00+00:00,-1.040335885202659e+04,-4.085922334092144e+04,-2.445417702279162e+01,2.979691628717033e+00,-7.587032172129791e-01,7.017859815634075e-03
2030-01-01T18:00:00+00:00,5.572035557276647e+02,-4.215928956139263e+04,1.347729386518706e+00,3.074495052256319e+00,4.059610296894013e-02,7.233997026196143e-03
2030-01-01T19:00:00+00:00,1.147959421351960e+04,-4.057028786621020e+04,2.703383977551501e+01,2.958607706415746e+00,8.371048492550606e-01,6.953976610346268e-03
2030-01-01T20:00:00+00:00,2.161532553445424e+04,-3.620114322612599e+04,5.084325300581214e+01,2.639976078350268e+00,1.576238705455673e+00,6.197463602863973e-03
2030-01-01T21:00:00+00:00,3.026983812167126e+04,-2.935129675148284e+04,7.114539638047428e+01,2.140441149441056e+00,2.207348517153966e+00,5.016775091843608e-03
2030-01-01T22:00:00+00:00,3.685009607943323e+04,-2.049017216141506e+04,8.655169419476591e+01,1.494239083217547e+00,2.687191574199727e+00,3.493257413516712e-03
2030-01-01T23:00:00+00:00,4.090521544859475e+04,-1.022499588362680e+04,9.601052019807226e+01,7.456525733878727e-01,2.982893302291544e+00,1.731676623729736e-03
2030-01-02T00:00:00+00:00,4.215734467974975e+04,7.408171098169516e+02,9.887894670576175e+01,-5.402467502876191e-02,3.074196870214153e+00,-1.469877624408791e-04
